genre,popularity, acousticness , danceability ,duration_ms, energy , liveness , loudness , speechiness , tempo , valence 
Folk,52,"  0,81 ","  0,64 ",230373,"  0,22 ","  0,11 ","  (12,42)","  0,03 ","  98,49 ","  0,38 "
Folk,52,"  0,05 ","  0,41 ",185316,"  0,56 ","  0,08 ","  (5,97)","  0,04 ","  118,57 ","  0,56 "
Folk,60,"  0,33 ","  0,32 ",317438,"  0,64 ","  0,09 ","  (9,26)","  0,03 ","  97,97 ","  0,58 "
Folk,53,"  0,60 ","  0,77 ",164627,"  0,44 ","  0,11 ","  (7,61)","  0,04 ","  125,09 ","  0,66 "
Folk,46,"  0,36 ","  0,59 ",263880,"  0,92 ","  0,13 ","  (5,85)","  0,07 ","  111,99 ","  0,31 "
Folk,59,"  0,92 ","  0,66 ",262533,"  0,21 ","  0,10 ","  (16,18)","  0,04 ","  95,47 ","  0,50 "
Folk,56,"  0,40 ","  0,52 ",192613,"  0,63 ","  0,12 ","  (7,49)","  0,03 ","  105,10 ","  0,72 "
Folk,52,"  0,01 ","  0,42 ",168493,"  0,86 ","  0,12 ","  (5,44)","  0,03 ","  152,01 ","  0,72 "
Folk,56,"  0,14 ","  0,30 ",198867,"  0,79 ","  0,29 ","  (7,93)","  0,07 ","  94,80 ","  0,72 "
Folk,56,"  0,82 ","  0,41 ",182640,"  0,42 ","  0,11 ","  (4,90)","  0,03 ","  157,06 ","  0,34 "
Folk,51,"  0,21 ","  0,54 ",391320,"  0,55 ","  0,17 ","  (9,99)","  0,03 ","  79,41 ","  0,63 "
Folk,56,"  0,89 ","  0,47 ",199400,"  0,33 ","  0,10 ","  (12,73)","  0,06 ","  70,00 ","  0,14 "
Folk,44,"  0,91 ","  0,56 ",324787,"  0,24 ","  0,26 ","  (12,62)","  0,03 ","  118,46 ","  0,15 "
Folk,47,"  0,76 ","  0,47 ",344573,"  0,35 ","  0,56 ","  (9,39)","  0,03 ","  152,01 ","  0,39 "
Folk,52,"  0,11 ","  0,60 ",249147,"  0,54 ","  0,11 ","  (7,67)","  0,03 ","  129,76 ","  0,22 "
Folk,53,"  0,79 ","  0,68 ",160453,"  0,17 ","  0,11 ","  (13,40)","  0,03 ","  128,62 ","  0,29 "
Folk,49,"  0,19 ","  0,33 ",202011,"  0,46 ","  0,18 ","  (10,05)","  0,03 ","  141,90 ","  0,11 "
Folk,49,"  0,15 ","  0,63 ",179733,"  0,37 ","  0,07 ","  (10,65)","  0,02 ","  85,92 ","  0,47 "
Folk,54,"  0,00 ","  0,38 ",150293,"  0,98 ","  0,20 ","  (4,32)","  0,09 ","  98,13 ","  0,48 "
Folk,52,"  0,01 ","  0,49 ",188533,"  0,83 ","  0,06 ","  (10,82)","  0,04 ","  151,87 ","  0,65 "
Folk,51,"  0,34 ","  0,67 ",236440,"  0,54 ","  0,10 ","  (10,47)","  0,04 ","  121,27 ","  0,70 "
Folk,51,"  0,52 ","  0,61 ",324680,"  0,42 ","  0,33 ","  (14,41)","  0,05 ","  154,11 ","  0,92 "
Folk,45,"  0,46 ","  0,56 ",219480,"  0,70 ","  0,10 ","  (5,67)","  0,05 ","  171,85 ","  0,68 "
Folk,47,"  0,07 ","  0,73 ",335667,"  0,59 ","  0,04 ","  (10,10)","  0,04 ","  127,58 ","  0,56 "
Folk,46,"  0,81 ","  0,39 ",301720,"  0,54 ","  0,06 ","  (8,38)","  0,03 ","  154,02 ","  0,28 "
Folk,52,"  0,36 ","  0,59 ",246973,"  0,65 ","  0,13 ","  (6,47)","  0,04 ","  136,94 ","  0,28 "
Folk,47,"  0,04 ","  0,60 ",176689,"  0,60 ","  0,11 ","  (6,37)","  0,06 ","  81,02 ","  0,43 "
Folk,52,"  0,18 ","  0,58 ",133907,"  0,66 ","  0,24 ","  (4,32)","  0,04 ","  78,73 ","  0,92 "
Opera,2,"  0,90 ","  0,26 ",746600,"  0,20 ","  0,69 ","  (19,62)","  0,07 ","  158,28 ","  0,16 "
Opera,7,"  0,95 ","  0,31 ",390907,"  0,18 ","  0,08 ","  (17,36)","  0,07 ","  78,63 ","  0,36 "
Opera,3,"  0,98 ","  0,46 ",140160,"  0,33 ","  0,18 ","  (21,17)","  0,05 ","  66,79 ","  0,27 "
Opera,35,"  0,97 ","  0,23 ",311333,"  0,22 ","  0,09 ","  (13,98)","  0,04 ","  132,17 ","  0,10 "
Opera,32,"  0,97 ","  0,30 ",189760,"  0,06 ","  0,76 ","  (20,76)","  0,10 ","  175,84 ","  0,07 "
Opera,33,"  0,71 ","  0,32 ",349467,"  0,33 ","  0,07 ","  (10,26)","  0,04 ","  76,37 ","  0,18 "
Opera,20,"  0,64 ","  0,09 ",342389,"  0,08 ","  0,11 ","  (24,34)","  0,05 ","  86,85 ","  0,04 "
Opera,29,"  0,98 ","  0,27 ",228027,"  0,29 ","  0,10 ","  (11,85)","  0,04 ","  92,89 ","  0,28 "
Opera,27,"  0,98 ","  0,23 ",178733,"  0,22 ","  0,23 ","  (18,86)","  0,04 ","  112,53 ","  0,09 "
